member,compressed_bytes,uncompressed_bytes
Acessos_Banda_Larga_Fixa_2007-2010.csv,13086318,97786908
Acessos_Banda_Larga_Fixa_2007-2010_Colunas.csv,1363318,11602410
Acessos_Banda_Larga_Fixa_2011-2012.csv,25335820,190827518
Acessos_Banda_Larga_Fixa_2011-2012_Colunas.csv,1810663,14568578
Acessos_Banda_Larga_Fixa_2013-2014.csv,32365732,237037116
Acessos_Banda_Larga_Fixa_2013-2014_Colunas.csv,2456610,20508504
Acessos_Banda_Larga_Fixa_2015-2016.csv,38333725,276161040
Acessos_Banda_Larga_Fixa_2015-2016_Colunas.csv,2509211,21775892
Acessos_Banda_Larga_Fixa_2017-2018.csv,48121969,344074827
Acessos_Banda_Larga_Fixa_2017-2018_Colunas.csv,3636582,29440606
Acessos_Banda_Larga_Fixa_2019-2020.csv,61241600,428843233
Acessos_Banda_Larga_Fixa_2019_2020_Colunas.csv,4627945,36326301
Acessos_Banda_Larga_Fixa_2021.csv,101591145,908876080
Acessos_Banda_Larga_Fixa_2021_Colunas.csv,17858749,167959021
Acessos_Banda_Larga_Fixa_2022.csv,116038972,981838047
Acessos_Banda_Larga_Fixa_2022_Colunas.csv,12401909,137104374
Acessos_Banda_Larga_Fixa_2023.csv,129796908,1087868590
Acessos_Banda_Larga_Fixa_2023_Colunas.csv,12910430,141448757
Acessos_Banda_Larga_Fixa_2024.csv,139516567,1160382400
Acessos_Banda_Larga_Fixa_2024_Colunas.csv,14114747,159096229
Acessos_Banda_Larga_Fixa_2025.csv,141346036,1191434811
Acessos_Banda_Larga_Fixa_2025_Colunas.csv,14466526,157645104
Acessos_Banda_Larga_Fixa_2026.csv,67253578,604746623
Acessos_Banda_Larga_Fixa_2026_Colunas.csv,10969815,127241387
Acessos_Banda_Larga_Fixa_Total.csv,1348,3498
Densidades.pdf,128104,139962
Densidade_Banda_Larga_Fixa.csv,15891185,70332249
