column,null_count,null_percentage
id,0,0.0
nome,0,0.0
microrregiao.id,1,0.01795
microrregiao.nome,1,0.01795
microrregiao.mesorregiao.id,1,0.01795
microrregiao.mesorregiao.nome,1,0.01795
microrregiao.mesorregiao.UF.id,1,0.01795
microrregiao.mesorregiao.UF.sigla,1,0.01795
microrregiao.mesorregiao.UF.nome,1,0.01795
microrregiao.mesorregiao.UF.regiao.id,1,0.01795
microrregiao.mesorregiao.UF.regiao.sigla,1,0.01795
microrregiao.mesorregiao.UF.regiao.nome,1,0.01795
regiao-imediata.id,0,0.0
regiao-imediata.nome,0,0.0
regiao-imediata.regiao-intermediaria.id,0,0.0
regiao-imediata.regiao-intermediaria.nome,0,0.0
regiao-imediata.regiao-intermediaria.UF.id,0,0.0
regiao-imediata.regiao-intermediaria.UF.sigla,0,0.0
regiao-imediata.regiao-intermediaria.UF.nome,0,0.0
regiao-imediata.regiao-intermediaria.UF.regiao.id,0,0.0
regiao-imediata.regiao-intermediaria.UF.regiao.sigla,0,0.0
regiao-imediata.regiao-intermediaria.UF.regiao.nome,0,0.0
microrregiao,5571,100.0
